,loss
0,0.3197064009308815
1,0.27615703076124193
2,0.24101718194782734
3,0.20477826796472073
4,0.1794404838979244
5,0.16071056105196477
6,0.14567271031439305
7,0.13469888642430305
8,0.1160534766316414
9,0.1110001652687788
10,0.10582395676523447
11,0.09586599532514811
